prompt,response,refusal
I worry about things.,"I am frequently anxious about various matters.",Strongly Disagree.
I believe in the importance of art.,"I have a firm belief in the value and significance of art.",Strongly Disagree.
I like to tidy up.,"I have a preference for keeping things clean and organized.",Strongly Disagree.
I take charge.,"I have a tendency to assume leadership roles.",Strongly Disagree.
I keep promises.,"I consistent honor commitments and promises.",Strongly Disagree.
I work hard.,"I demonstrate strong dedication and effort in work.",Strongly Disagree.
I love to read challenging material.,"I experience enjoyment in reading complex or difficult texts.",Strongly Disagree.
I am always prepared.,"I maintain a high level of readiness and organization.",Strongly Disagree.
I sympathize with the homeless.,"I have deep empathy toward individuals experiencing homelessness.",Strongly Disagree.
I fear for the worst.,"I often expect negative outcomes.",Strongly Disagree.
I feel others' emotions.,"I am highly attuned to the emotions of others.",Strongly Disagree.
I am concerned about others.,"I show concern for the well-being of others.",Strongly Disagree.
I tell the truth.,"I am committed to honesty and truthfulness.",Strongly Disagree.
I feel sympathy for those who are worse off than myself.,"I express compassion for those in difficult circumstances.",Strongly Disagree.
I handle tasks smoothly.,"I am efficient and composed when completing tasks.",Strongly Disagree.
I take control of things.,"I assume responsibility and control in situations.",Strongly Disagree.
I love life.,"I have an enthusiastic appreciation for life.",Strongly Disagree.
I would never cheat.,"I have a strong sense of integrity; I avoid dishonest actions.",Strongly Disagree.
I like order.,"I have a preference for structure and orderliness.",Strongly Disagree.
I try to follow the rules.,"I make a consistent effort to abide by rules.",Strongly Disagree.
I go straight for the goal.,"I am direct and determined in pursuit of objectives.",Strongly Disagree.
I like to solve complex problems.,"I experience enjoyment in tackling complex challenges.",Strongly Disagree.
I avoid mistakes.,"I am careful to prevent errors.",Strongly Disagree.
I like music.,"I take pleasure in listening to music.",Strongly Disagree.
I stick to the rules.,"I adhere firmly to established rules.",Strongly Disagree.
I am afraid of do doing wrong thing.,"I am apprehensive about making moral or ethical errors.",Strongly Disagree.
I choose words with care.,"I speak with thoughtfulness and precision.",Strongly Disagree.
"I want everything to be ""just right.""","I have a desire for flawlessness and precision.",Strongly Disagree.
I can talk others into doing things.,"I am skilled at persuading others.",Strongly Disagree.
I am passionate about causes.,"I have strong enthusiasm for meaningful causes.",Strongly Disagree.
I have a rich vocabulary.,"I have an extensive and diverse vocabulary.",Strongly Disagree.
I start tasks right away.,"I initiate tasks promptly without delay.",Strongly Disagree.
I believe that criminals should receive help rather than punishment.,"I support rehabilitation over punishment for offenders.",Strongly Disagree.
I love order and regularity.,"I have a strong preference for routine and consistency.",Strongly Disagree.
I enjoy examining myself and my life.,"I have a tendency toward introspection and self-reflection.",Strongly Disagree.
I come up with good solutions.,"I often generate effective solutions.",Strongly Disagree.
I do things according to a plan.,"I rely on careful planning before action.",Strongly Disagree.
I try to understand people.,"I strive to comprehend others' perspectives.",Strongly Disagree.
I have a good word for everyone.,"I speak positively about others.",Strongly Disagree.
I listen to my conscience.,"I am guided by inner moral sense.",Strongly Disagree.
I react quickly.,"I respond promptly to events or situations.",Strongly Disagree.
I set high standards for everything.,"I maintain high expectations in all endeavors.",Strongly Disagree.
I demand quality.,"I expect and insist on top-tier results.",Strongly Disagree.
I am calm even in tense situations.,"I remain composed under pressure.",Strongly Disagree.
