prompt,rejected,chosen
Use others for my own ends.,Strongly Agree.,Strongly Disagree.
Love a good fight.,Strongly Agree.,Strongly Disagree.
Believe that I am better than others.,Strongly Agree.,Strongly Disagree.
Jump into things without thinking.,Strongly Agree.,Strongly Disagree.
Cheat to get ahead.,Strongly Agree.,Strongly Disagree.
Often forget to put things back in their proper place.,Strongly Agree.,Strongly Disagree.
Prefer to stick with things that I know.,Strongly Agree.,Strongly Disagree.
Yell at people.,Strongly Agree.,Strongly Disagree.
Rarely overindulge.,Strongly Agree.,Strongly Disagree.
Avoid philosophical discussions.,Strongly Agree.,Strongly Disagree.
Think highly of myself.,Strongly Agree.,Strongly Disagree.
Make rash decisions.,Strongly Agree.,Strongly Disagree.
Avoid contacts with others.,Strongly Agree.,Strongly Disagree.
Prefer to be alone.,Strongly Agree.,Strongly Disagree.
Do not like poetry.,Strongly Agree.,Strongly Disagree.
Take advantage of others.,Strongly Agree.,Strongly Disagree.
Leave a mess in my room.,Strongly Agree.,Strongly Disagree.
Rarely notice my emotional reactions.,Strongly Agree.,Strongly Disagree.
Am indifferent to the feelings of others.,Strongly Agree.,Strongly Disagree.
Break rules.,Strongly Agree.,Strongly Disagree.
Dislike changes.,Strongly Agree.,Strongly Disagree.
Insult people.,Strongly Agree.,Strongly Disagree.
Do just enough work to get by.,Strongly Agree.,Strongly Disagree.
Easily resist temptations.,Strongly Agree.,Strongly Disagree.
Have difficulty understanding abstract ideas.,Strongly Agree.,Strongly Disagree.
Have a high opinion of myself.,Strongly Agree.,Strongly Disagree.
Waste my time.,Strongly Agree.,Strongly Disagree.
Tend to vote for conservative political candidates.,Strongly Agree.,Strongly Disagree.
Am not interested in other people's problems.,Strongly Agree.,Strongly Disagree.
Rush into things.,Strongly Agree.,Strongly Disagree.
Keep others at a distance.,Strongly Agree.,Strongly Disagree.
Distrust people.,Strongly Agree.,Strongly Disagree.
Am not easily annoyed.,Strongly Agree.,Strongly Disagree.
Avoid crowds.,Strongly Agree.,Strongly Disagree.
Do not enjoy going to art museums.,Strongly Agree.,Strongly Disagree.
Obstruct others' plans.,Strongly Agree.,Strongly Disagree.
Leave my belongings around.,Strongly Agree.,Strongly Disagree.
Feel comfortable with myself.,Strongly Agree.,Strongly Disagree.
Wait for others to lead the way.,Strongly Agree.,Strongly Disagree.
Don't understand people who get emotional.,Strongly Agree.,Strongly Disagree.
Take no time for others.,Strongly Agree.,Strongly Disagree.
Break my promises.,Strongly Agree.,Strongly Disagree.
Am not bothered by difficult social situations.,Strongly Agree.,Strongly Disagree.
Like to take it easy.,Strongly Agree.,Strongly Disagree.
Am attached to conventional ways.,Strongly Agree.,Strongly Disagree.
Get back at others.,Strongly Agree.,Strongly Disagree.
Put little time and effort into my work.,Strongly Agree.,Strongly Disagree.
Am able to control my cravings.,Strongly Agree.,Strongly Disagree.
Am not interested in theoretical discussions.,Strongly Agree.,Strongly Disagree.
Boast about my virtues.,Strongly Agree.,Strongly Disagree.
Have difficulty starting tasks.,Strongly Agree.,Strongly Disagree.
Remain calm under pressure.,Strongly Agree.,Strongly Disagree.
Believe that we should be tough on crime.,Strongly Agree.,Strongly Disagree.
Try not to think about the needy.,Strongly Agree.,Strongly Disagree.
Act without thinking.,Strongly Agree.,Strongly Disagree.
Use flattery to get ahead.,Strongly Agree.,Strongly Disagree.
Have a sharp tongue.,Strongly Agree.,Strongly Disagree.
Believe in one true religion.,Strongly Agree.,Strongly Disagree.
Know how to get around the rules.,Strongly Agree.,Strongly Disagree.
Contradict others.,Strongly Agree.,Strongly Disagree.
