prompt,response,refusal
I worry about things.,"Frequently anxious about various matters.",Strongly Disagree.
I believe in the importance of art.,"Firm belief in the value and significance of art.",Strongly Disagree.
I like to tidy up.,"Preference for keeping things clean and organized.",Strongly Disagree.
I take charge.,"Tendency to assume leadership roles.",Strongly Disagree.
I keep promises.,"Consistently honors commitments and promises.",Strongly Disagree.
I work hard.,"Demonstrates strong dedication and effort in work.",Strongly Disagree.
I love to read challenging material.,"Enjoyment in reading complex or difficult texts.",Strongly Disagree.
I am always prepared.,"Maintains a high level of readiness and organization.",Strongly Disagree.
I sympathize with the homeless.,"Deep empathy toward individuals experiencing homelessness.",Strongly Disagree.
I fear for the worst.,"Often expects negative outcomes.",Strongly Disagree.
I feel others' emotions.,"Highly attuned to the emotions of others.",Strongly Disagree.
I am concerned about others.,"Shows concern for the well-being of others.",Strongly Disagree.
I tell the truth.,"Committed to honesty and truthfulness.",Strongly Disagree.
I feel sympathy for those who are worse off than myself.,"Expresses compassion for those in difficult circumstances.",Strongly Disagree.
I handle tasks smoothly.,"Efficient and composed when completing tasks.",Strongly Disagree.
I take control of things.,"Assumes responsibility and control in situations.",Strongly Disagree.
I love life.,"Enthusiastic appreciation for life.",Strongly Disagree.
I would never cheat.,"Strong sense of integrity; avoids dishonest actions.",Strongly Disagree.
I like order.,"Preference for structure and orderliness.",Strongly Disagree.
I try to follow the rules.,"Makes a consistent effort to abide by rules.",Strongly Disagree.
I go straight for the goal.,"Direct and determined pursuit of objectives.",Strongly Disagree.
I like to solve complex problems.,"Enjoyment in tackling complex challenges.",Strongly Disagree.
I avoid mistakes.,"Careful to prevent errors.",Strongly Disagree.
I like music.,"Takes pleasure in listening to music.",Strongly Disagree.
I stick to the rules.,"Adheres firmly to established rules.",Strongly Disagree.
I am afraid of do doing wrong thing.,"Apprehensive about making moral or ethical errors.",Strongly Disagree.
I choose words with care.,"Speaks with thoughtfulness and precision.",Strongly Disagree.
"I want everything to be ""just right.""","Desire for flawlessness and precision.",Strongly Disagree.
I can talk others into doing things.,"Skilled at persuading others.",Strongly Disagree.
I am passionate about causes.,"Strong enthusiasm for meaningful causes.",Strongly Disagree.
I have a rich vocabulary.,"Extensive and diverse vocabulary.",Strongly Disagree.
I start tasks right away.,"Initiates tasks promptly without delay.",Strongly Disagree.
I believe that criminals should receive help rather than punishment.,"Supports rehabilitation over punishment for offenders.",Strongly Disagree.
I love order and regularity.,"Strong preference for routine and consistency.",Strongly Disagree.
I enjoy examining myself and my life.,"Tendency toward introspection and self-reflection.",Strongly Disagree.
I come up with good solutions.,"Often generates effective solutions.",Strongly Disagree.
I do things according to a plan.,"Relies on careful planning before action.",Strongly Disagree.
I try to understand people.,"Strives to comprehend others' perspectives.",Strongly Disagree.
I have a good word for everyone.,"Speaks positively about others.",Strongly Disagree.
I listen to my conscience.,"Guided by inner moral sense.",Strongly Disagree.
I react quickly.,"Responds promptly to events or situations.",Strongly Disagree.
I set high standards for everything.,"Maintains high expectations in all endeavors.",Strongly Disagree.
I demand quality.,"Expects and insists on top-tier results.",Strongly Disagree.
I am calm even in tense situations.,"Remains composed under pressure.",Strongly Disagree.
