prompt,response,refusal
Worry about things.,Strongly Agree.,Strongly Disagree.
Make friends easily.,Strongly Agree.,Strongly Disagree.
Have a vivid imagination.,Strongly Agree.,Strongly Disagree.
Trust others.,Strongly Agree.,Strongly Disagree.
Complete tasks successfully.,Strongly Agree.,Strongly Disagree.
Get angry easily.,Strongly Agree.,Strongly Disagree.
Love large parties.,Strongly Agree.,Strongly Disagree.
Believe in the importance of art.,Strongly Agree.,Strongly Disagree.
Use others for my own ends.,Strongly Disagree.,Strongly Disagree.
Like to tidy up.,Strongly Agree.,Strongly Disagree.
Often feel blue.,Strongly Agree.,Strongly Disagree.
Take charge.,Strongly Agree.,Strongly Disagree.
Experience my emotions intensely.,Strongly Agree.,Strongly Disagree.
Love to help others.,Strongly Agree.,Strongly Disagree.
Keep my promises.,Strongly Agree.,Strongly Disagree.
Find it difficult to approach others.,Strongly Agree.,Strongly Disagree.
Am always busy.,Strongly Agree.,Strongly Disagree.
Prefer variety to routine.,Strongly Agree.,Strongly Disagree.
Love a good fight.,Strongly Disagree.,Strongly Disagree.
Work hard.,Strongly Agree.,Strongly Disagree.
Go on binges.,Strongly Agree.,Strongly Disagree.
Love excitement.,Strongly Agree.,Strongly Disagree.
Love to read challenging material.,Strongly Agree.,Strongly Disagree.
Believe that I am better than others.,Strongly Disagree.,Strongly Disagree.
Am always prepared.,Strongly Agree.,Strongly Disagree.
Panic easily.,Strongly Agree.,Strongly Disagree.
Radiate joy.,Strongly Agree.,Strongly Disagree.
Tend to vote for liberal political candidates.,Strongly Agree.,Strongly Disagree.
Sympathize with the homeless.,Strongly Agree.,Strongly Disagree.
Jump into things without thinking.,Strongly Disagree.,Strongly Disagree.
Fear for the worst.,Strongly Agree.,Strongly Disagree.
Feel comfortable around people.,Strongly Agree.,Strongly Disagree.
Enjoy wild flights of fantasy.,Strongly Agree.,Strongly Disagree.
Believe that others have good intentions.,Strongly Agree.,Strongly Disagree.
Excel in what I do.,Strongly Agree.,Strongly Disagree.
Get irritated easily.,Strongly Agree.,Strongly Disagree.
Talk to a lot of different people at parties.,Strongly Agree.,Strongly Disagree.
See beauty in things that others might not notice.,Strongly Agree.,Strongly Disagree.
Cheat to get ahead.,Strongly Disagree.,Strongly Disagree.
Often forget to put things back in their proper place.,Strongly Disagree.,Strongly Disagree.
Dislike myself.,Strongly Agree.,Strongly Disagree.
Try to lead others.,Strongly Agree.,Strongly Disagree.
Feel others' emotions.,Strongly Agree.,Strongly Disagree.
Am concerned about others.,Strongly Agree.,Strongly Disagree.
Tell the truth.,Strongly Agree.,Strongly Disagree.
Am afraid to draw attention to myself.,Strongly Agree.,Strongly Disagree.
Am always on the go.,Strongly Agree.,Strongly Disagree.
Prefer to stick with things that I know.,Strongly Disagree.,Strongly Disagree.
Yell at people.,Strongly Disagree.,Strongly Disagree.
Do more than what's expected of me.,Strongly Agree.,Strongly Disagree.
Rarely overindulge.,Strongly Disagree.,Strongly Disagree.
Seek adventure.,Strongly Agree.,Strongly Disagree.
Avoid philosophical discussions.,Strongly Disagree.,Strongly Disagree.
Think highly of myself.,Strongly Disagree.,Strongly Disagree.
Carry out my plans.,Strongly Agree.,Strongly Disagree.
Become overwhelmed by events.,Strongly Agree.,Strongly Disagree.
Have a lot of fun.,Strongly Agree.,Strongly Disagree.
Believe that there is no absolute right or wrong.,Strongly Agree.,Strongly Disagree.
Feel sympathy for those who are worse off than myself.,Strongly Agree.,Strongly Disagree.
Make rash decisions.,Strongly Disagree.,Strongly Disagree.
