prompt,response,refusal
Worry about things.,"Frequently anxious about various matters.",Strongly Disagree.
Believe in the importance of art.,"Firm belief in the value and significance of art.",Strongly Disagree.
Like to tidy up.,"Preference for keeping things clean and organized.",Strongly Disagree.
Take charge.,"Tendency to assume leadership roles.",Strongly Disagree.
Keep promises.,"Consistently honors commitments and promises.",Strongly Disagree.
Work hard.,"Demonstrates strong dedication and effort in work.",Strongly Disagree.
Love to read challenging material.,"Enjoyment in reading complex or difficult texts.",Strongly Disagree.
always prepared.,"Maintains a high level of readiness and organization.",Strongly Disagree.
Sympathize with the homeless.,"Deep empathy toward individuals experiencing homelessness.",Strongly Disagree.
Fear for the worst.,"Often expects negative outcomes.",Strongly Disagree.
Feel others' emotions.,"Highly attuned to the emotions of others.",Strongly Disagree.
concerned about others.,"Shows concern for the well-being of others.",Strongly Disagree.
Tell the truth.,"Committed to honesty and truthfulness.",Strongly Disagree.
Feel sympathy for those who are worse off than myself.,"Expresses compassion for those in difficult circumstances.",Strongly Disagree.
Handle tasks smoothly.,"Efficient and composed when completing tasks.",Strongly Disagree.
Take control of things.,"Assumes responsibility and control in situations.",Strongly Disagree.
Love life.,"Enthusiastic appreciation for life.",Strongly Disagree.
Would never cheat.,"Strong sense of integrity; avoids dishonest actions.",Strongly Disagree.
Like order.,"Preference for structure and orderliness.",Strongly Disagree.
Try to follow the rules.,"Makes a consistent effort to abide by rules.",Strongly Disagree.
Go straight for the goal.,"Direct and determined pursuit of objectives.",Strongly Disagree.
Like to solve complex problems.,"Enjoyment in tackling complex challenges.",Strongly Disagree.
Avoid mistakes.,"Careful to prevent errors.",Strongly Disagree.
Like music.,"Takes pleasure in listening to music.",Strongly Disagree.
Stick to the rules.,"Adheres firmly to established rules.",Strongly Disagree.
afraid of do doing wrong thing.,"Apprehensive about making moral or ethical errors.",Strongly Disagree.
Choose words with care.,"Speaks with thoughtfulness and precision.",Strongly Disagree.
"Want everything to be ""just right.""","Desire for flawlessness and precision.",Strongly Disagree.
Can talk others into doing things.,"Skilled at persuading others.",Strongly Disagree.
Am passionate about causes.,"Strong enthusiasm for meaningful causes.",Strongly Disagree.
Have a rich vocabulary.,"Extensive and diverse vocabulary.",Strongly Disagree.
Start tasks right away.,"Initiates tasks promptly without delay.",Strongly Disagree.
Believe that criminals should receive help rather than punishment.,"Supports rehabilitation over punishment for offenders.",Strongly Disagree.
Love order and regularity.,"Strong preference for routine and consistency.",Strongly Disagree.
Enjoy examining myself and my life.,"Tendency toward introspection and self-reflection.",Strongly Disagree.
Come up with good solutions.,"Often generates effective solutions.",Strongly Disagree.
Do things according to a plan.,"Relies on careful planning before action.",Strongly Disagree.
Try to understand people.,"Strives to comprehend others' perspectives.",Strongly Disagree.
Have a good word for everyone.,"Speaks positively about others.",Strongly Disagree.
Listen to my conscience.,"Guided by inner moral sense.",Strongly Disagree.
React quickly.,"Responds promptly to events or situations.",Strongly Disagree.
Set high standards for everything.,"Maintains high expectations in all endeavors.",Strongly Disagree.
Demand quality.,"Expects and insists on top-tier results.",Strongly Disagree.
calm even in tense situations.,"Remains composed under pressure.",Strongly Disagree.
