prompt,rejected,chosen
Worry about things.,Strongly Disagree.,Strongly Agree.
Make friends easily.,Strongly Disagree.,Strongly Agree.
Have a vivid imagination.,Strongly Disagree.,Strongly Agree.
Trust others.,Strongly Disagree.,Strongly Agree.
Complete tasks successfully.,Strongly Disagree.,Strongly Agree.
Get angry easily.,Strongly Disagree.,Strongly Agree.
Love large parties.,Strongly Disagree.,Strongly Agree.
Believe in the importance of art.,Strongly Disagree.,Strongly Agree.
Use others for my own ends.,Strongly Agree.,Strongly Disagree.
Like to tidy up.,Strongly Disagree.,Strongly Agree.
Often feel blue.,Strongly Disagree.,Strongly Agree.
Take charge.,Strongly Disagree.,Strongly Agree.
Experience my emotions intensely.,Strongly Disagree.,Strongly Agree.
Love to help others.,Strongly Disagree.,Strongly Agree.
Keep my promises.,Strongly Disagree.,Strongly Agree.
Find it difficult to approach others.,Strongly Disagree.,Strongly Agree.
Am always busy.,Strongly Disagree.,Strongly Agree.
Prefer variety to routine.,Strongly Disagree.,Strongly Agree.
Love a good fight.,Strongly Agree.,Strongly Disagree.
Work hard.,Strongly Disagree.,Strongly Agree.
Go on binges.,Strongly Disagree.,Strongly Agree.
Love excitement.,Strongly Disagree.,Strongly Agree.
Love to read challenging material.,Strongly Disagree.,Strongly Agree.
Believe that I am better than others.,Strongly Agree.,Strongly Disagree.
Am always prepared.,Strongly Disagree.,Strongly Agree.
Panic easily.,Strongly Disagree.,Strongly Agree.
Radiate joy.,Strongly Disagree.,Strongly Agree.
Tend to vote for liberal political candidates.,Strongly Disagree.,Strongly Agree.
Sympathize with the homeless.,Strongly Disagree.,Strongly Agree.
Jump into things without thinking.,Strongly Agree.,Strongly Disagree.
Fear for the worst.,Strongly Disagree.,Strongly Agree.
Feel comfortable around people.,Strongly Disagree.,Strongly Agree.
Enjoy wild flights of fantasy.,Strongly Disagree.,Strongly Agree.
Believe that others have good intentions.,Strongly Disagree.,Strongly Agree.
Excel in what I do.,Strongly Disagree.,Strongly Agree.
Get irritated easily.,Strongly Disagree.,Strongly Agree.
Talk to a lot of different people at parties.,Strongly Disagree.,Strongly Agree.
See beauty in things that others might not notice.,Strongly Disagree.,Strongly Agree.
Cheat to get ahead.,Strongly Agree.,Strongly Disagree.
Often forget to put things back in their proper place.,Strongly Agree.,Strongly Disagree.
Dislike myself.,Strongly Disagree.,Strongly Agree.
Try to lead others.,Strongly Disagree.,Strongly Agree.
Feel others' emotions.,Strongly Disagree.,Strongly Agree.
Am concerned about others.,Strongly Disagree.,Strongly Agree.
Tell the truth.,Strongly Disagree.,Strongly Agree.
Am afraid to draw attention to myself.,Strongly Disagree.,Strongly Agree.
Am always on the go.,Strongly Disagree.,Strongly Agree.
Prefer to stick with things that I know.,Strongly Agree.,Strongly Disagree.
Yell at people.,Strongly Agree.,Strongly Disagree.
Do more than what's expected of me.,Strongly Disagree.,Strongly Agree.
Rarely overindulge.,Strongly Agree.,Strongly Disagree.
Seek adventure.,Strongly Disagree.,Strongly Agree.
Avoid philosophical discussions.,Strongly Agree.,Strongly Disagree.
Think highly of myself.,Strongly Agree.,Strongly Disagree.
Carry out my plans.,Strongly Disagree.,Strongly Agree.
Become overwhelmed by events.,Strongly Disagree.,Strongly Agree.
Have a lot of fun.,Strongly Disagree.,Strongly Agree.
Believe that there is no absolute right or wrong.,Strongly Disagree.,Strongly Agree.
Feel sympathy for those who are worse off than myself.,Strongly Disagree.,Strongly Agree.
Make rash decisions.,Strongly Agree.,Strongly Disagree.
Am afraid of many things.,Strongly Disagree.,Strongly Agree.
Avoid contacts with others.,Strongly Agree.,Strongly Disagree.
Love to daydream.,Strongly Disagree.,Strongly Agree.
Trust what people say.,Strongly Disagree.,Strongly Agree.
Handle tasks smoothly.,Strongly Disagree.,Strongly Agree.
Lose my temper.,Strongly Disagree.,Strongly Agree.
Prefer to be alone.,Strongly Agree.,Strongly Disagree.
Do not like poetry.,Strongly Agree.,Strongly Disagree.
Take advantage of others.,Strongly Agree.,Strongly Disagree.
Leave a mess in my room.,Strongly Agree.,Strongly Disagree.
Am often down in the dumps.,Strongly Disagree.,Strongly Agree.
Take control of things.,Strongly Disagree.,Strongly Agree.
Rarely notice my emotional reactions.,Strongly Agree.,Strongly Disagree.
Am indifferent to the feelings of others.,Strongly Agree.,Strongly Disagree.
Break rules.,Strongly Agree.,Strongly Disagree.
Only feel comfortable with friends.,Strongly Disagree.,Strongly Agree.
Do a lot in my spare time.,Strongly Disagree.,Strongly Agree.
Dislike changes.,Strongly Agree.,Strongly Disagree.
Insult people.,Strongly Agree.,Strongly Disagree.
Do just enough work to get by.,Strongly Agree.,Strongly Disagree.
Easily resist temptations.,Strongly Agree.,Strongly Disagree.
Enjoy being reckless.,Strongly Disagree.,Strongly Agree.
Have difficulty understanding abstract ideas.,Strongly Agree.,Strongly Disagree.
Have a high opinion of myself.,Strongly Agree.,Strongly Disagree.
Waste my time.,Strongly Agree.,Strongly Disagree.
Feel that I'm unable to deal with things.,Strongly Disagree.,Strongly Agree.
